eBayItemUrl,status
https://www.ebay.com/itm/Chemical-Guys-ACC-B01-Gerbil-Wheel-and-Rim-Brush/322902607537?hash=item4b2e7ec6b1:g:oJkAAOSw3WxaGKbV,"active(out of stock)"
https://www.ebay.com/itm/Wax-Warmer-Auperwel-Hair-Removal-Waxing-Kit-Pearl-Wax-Heater-Brazilian-Wax-Home/322902109913?hash=item4b2e772ed9:g:wUMAAOSw-olaGGIt,"active(out of stock)"
https://www.ebay.com/itm/DAISO-SOFT-CLAY-red-white/112674404581?hash=item1a3beaf8e5:g:TUwAAOSwj99aJubN,"active(out of stock)"
https://www.ebay.com/itm/Peicees-4-Pack-Plant-Hanger-Macrame-Jute-4-Legs-35-5-Inches-for-Indoor-Outdoor/322502017496?hash=item4b169e41d8:g:iPsAAOSwX61ZCEuD,"active(out of stock)"
https://www.ebay.com/itm/Dyson-DC33-Multi-Floor-Replacement-Suction-Attachment-Hose-fits-Part/322456649415?hash=item4b13e9fec7:g:Nk8AAOSwdGFYzkfI,"active(out of stock)"
https://www.ebay.com/itm/Pet-Qwerks-Flavorit-Peanut-Butter-Flavored-Nylon-Bone-for-Aggressive-Chewers/322473726365?hash=item4b14ee919d:g:YfIAAOSw~CFY4-Ih,"active(out of stock)"
https://www.ebay.com/itm/Feng-Shui-Bronz-Color-6-Elegant-Elephant-Trunk-Statue-Wealth-Lucky-Figurine-US/322457743827?hash=item4b13fab1d3:g:3V0AAOSw4A5Yz5yv,"active(out of stock)"
https://www.ebay.com/itm/BABEYOND-Womens-Flapper-Feather-Headband-1920s-Headpiece-Vintage-Hair-Crystal/322464326043?hash=item4b145f219b:g:SUkAAOSw4A5Y2Dfw,"active(out of stock)"
https://www.ebay.com/itm/Resinta-Gender-Reveal-Banner-Balloons-and-Tissue-Paper-Pom-Poms-Flower-Set-Baby/322908607771?hash=item4b2eda551b:g:hXkAAOSwzppaHP56,"active(out of stock)"
https://www.ebay.com/itm/Circleware-Tavola-Glass-Butter-Dish-with-Glass-Lid-7-5x3-25-Clear/322457743151?hash=item4b13faaf2f:g:suMAAOSw32lYz5xp,"active(out of stock)"
https://www.ebay.com/itm/ASVAB-Study-Guide-2018-2019-Test-Prep-Practice-Test-Questions-for-the-Armed-S/112793745102?hash=item1a4307f6ce:g:zrgAAOSwkh9adhti,"active(out of stock)"
https://www.ebay.com/itm/Reshape-Stretch-Mark-Scar-Cream-with-Retinol-Shea-Butter-Coconut-Oil-See/322902005430?hash=item4b2e7596b6:g:fyIAAOSwevlaGF3B,"active(out of stock)"
https://www.ebay.com/itm/Round-Shape-Geometric-Design-Thank-You-Stickers-500-Stickers-per-Roll-with-5-of/322908607670?hash=item4b2eda54b6:g:FYwAAOSwbkVaHP5z,"active(out of stock)"
https://www.ebay.com/itm/JR-Tan-Floor-Register-Heater-Floor-Vent-Cover-RV-Travel-Trailer-Motorhome-Camper/292142285950?hash=item440509847e:g:AFgAAOSww5hZNt2U,active
https://www.ebay.com/itm/The-Ten-Commandments-1956/112853734761?hash=item1a469b5569:g:aW4AAOSwDdNan3ew,active
https://www.ebay.com/itm/Pinkalicious-Phonics-Box-Set-My-First-I-Can-Read/322273454536?hash=item4b08fea9c8:g:SU0AAOSw8gVX6NRq,"active(out of stock)"
https://www.ebay.com/itm/3-Kojie-SAN-Kojic-Skin-Lightening-Soaps-USA-Seller-10-6oz-3-5oz-100g-Each/263512254031?hash=item3d5a8de64f:g:q4AAAOSwB9hZ4hNG,"Ended or removed by ebay"
https://www.ebay.com/itm/Liqui-Moly-2009-Anti-Friction-Oil-Treatment-300-ml/322919485945?hash=item4b2f8051f9:g:iS8AAOSwC-taI~Js,"active(out of stock)"
https://www.ebay.com/itm/PJ-Masks-Matching-Game/252624829984?hash=item3ad19cfe20:g:pxEAAOSw4GVYIAS9,"active(out of stock)"
